Id;Title;Distributor;Genre
2;What Lies Beneath;Dreamworks SKG;Thriller-or-Suspense
3;Unbreakable;Walt Disney;Thriller-or-Suspense
4;The Cell;New Line;Thriller-or-Suspense
5;Vertical Limit;Sony Pictures;Thriller-or-Suspense
6;Frequency;New Line;Thriller-or-Suspense
7;The Talented Mr. Ripley;Paramount Pictures;Thriller-or-Suspense
8;The Skulls;Universal;Thriller-or-Suspense
9;The Art of War;Warner Bros.;Thriller-or-Suspense
10;The Watcher;Universal;Thriller-or-Suspense
11;The Ninth Gate;Artisan;Thriller-or-Suspense
12;The Contender;Dreamworks SKG;Thriller-or-Suspense
13;The Sixth Sense;Walt Disney;Thriller-or-Suspense
14;Eye of the Beholder;Destination Films;Thriller-or-Suspense
15;Supernova;MGM;Thriller-or-Suspense
16;The In Crowd;Warner Bros.;Thriller-or-Suspense
17;The Bone Collector;Universal;Thriller-or-Suspense
18;Blood Simple;USA Films;Thriller-or-Suspense
19;Trois;Rainforest Produc…;Thriller-or-Suspense
20;Du rififi chez les hommes;;Thriller-or-Suspense
21;Under Suspicion;;Thriller-or-Suspense
22;Baise-moi;;Thriller-or-Suspense
23;Deterrence;;Thriller-or-Suspense
24;With a Friend Like Harry;Miramax;Thriller-or-Suspense
25;Lola rennt;Sony Pictures Cla…;Thriller-or-Suspense
26;Taboo;;Thriller-or-Suspense
27;The Gift;Paramount Vantage;Thriller-or-Suspense
28;The Thomas Crown Affair;MGM;Thriller-or-Suspense
29;Buddy Boy;Fine Line;Thriller-or-Suspense
30;Circus;Sony Pictures;Thriller-or-Suspense
31;The Quarry;First Run Features;Thriller-or-Suspense
32;Brown's Requiem;Avalanche Releasing;Thriller-or-Suspense
33;Placebo Effect;Phaedra Cinema;Thriller-or-Suspense
35;Ocean's Eleven;Warner Bros.;Thriller-or-Suspense
36;Vanilla Sky;Paramount Pictures;Thriller-or-Suspense
37;Training Day;Warner Bros.;Thriller-or-Suspense
38;Along Came a Spider;Paramount Pictures;Thriller-or-Suspense
39;The Score;Paramount Pictures;Thriller-or-Suspense
40;Donât Say a Word;20th Century Fox;Thriller-or-Suspense
41;Domestic Disturbance;Paramount Pictures;Thriller-or-Suspense
42;From Hell;20th Century Fox;Thriller-or-Suspense
43;Memento;Newmarket Films;Thriller-or-Suspense
44;15 Minutes;New Line;Thriller-or-Suspense
45;Joy Ride;20th Century Fox;Thriller-or-Suspense
46;The Pledge;Warner Bros.;Thriller-or-Suspense
47;The Last Castle;Dreamworks SKG;Thriller-or-Suspense
48;The Glass House;Sony Pictures;Thriller-or-Suspense
49;Vertical Limit;Sony Pictures;Thriller-or-Suspense
50;Original Sin;MGM;Thriller-or-Suspense
51;The Tailor of Panama;Sony Pictures;Thriller-or-Suspense
52;The Gift;Paramount Vantage;Thriller-or-Suspense
53;Antitrust;MGM;Thriller-or-Suspense
54;The Deep End;Fox Searchlight;Thriller-or-Suspense
55;Mulholland Drive;Universal;Thriller-or-Suspense
56;Unbreakable;Walt Disney;Thriller-or-Suspense
57;With a Friend Like Harry;Miramax;Thriller-or-Suspense
58;Impostor;Miramax;Thriller-or-Suspense
59;Brigham City;Excel Entertainment;Thriller-or-Suspense
60;Brother;Sony Pictures Cla…;Thriller-or-Suspense
61;Baise-moi;;Thriller-or-Suspense
62;Taboo;;Thriller-or-Suspense
63;Une affaire de goÃ»t;Attitude Films;Thriller-or-Suspense
64;The Body;Avalanche Releasing;Thriller-or-Suspense
65;Du rififi chez les hommes;;Thriller-or-Suspense
66;Fever;;Thriller-or-Suspense
67;Under Suspicion;;Thriller-or-Suspense
68;Protection;;Thriller-or-Suspense
70;Signs;Walt Disney;Thriller-or-Suspense
71;The Bourne Identity;Universal;Thriller-or-Suspense
72;Panic Room;Sony Pictures;Thriller-or-Suspense
73;Red Dragon;Universal;Thriller-or-Suspense
74;John Q.;New Line;Thriller-or-Suspense
75;Insomnia;Warner Bros.;Thriller-or-Suspense
76;Changing Lanes;Paramount Pictures;Thriller-or-Suspense
77;Unfaithful;20th Century Fox;Thriller-or-Suspense
78;High Crimes;20th Century Fox;Thriller-or-Suspense
79;Enough;Sony Pictures;Thriller-or-Suspense
80;Murder by Numbers;Warner Bros.;Thriller-or-Suspense
81;One Hour Photo;Fox Searchlight;Thriller-or-Suspense
82;Ocean's Eleven;Warner Bros.;Thriller-or-Suspense
83;Dragonfly;Universal;Thriller-or-Suspense
84;Swimfan;20th Century Fox;Thriller-or-Suspense
85;Blood Work;Warner Bros.;Thriller-or-Suspense
86;Vanilla Sky;Paramount Pictures;Thriller-or-Suspense
87;Frailty;Lionsgate;Thriller-or-Suspense
88;Abandon;Paramount Pictures;Thriller-or-Suspense
89;Trapped;Sony Pictures;Thriller-or-Suspense
90;Femme Fatale;Warner Bros.;Thriller-or-Suspense
91;The Truth About Charlie;Universal;Thriller-or-Suspense
92;Birthday Girl;Miramax;Thriller-or-Suspense
93;Enigma;Miramax;Thriller-or-Suspense
94;Impostor;Miramax;Thriller-or-Suspense
95;Mulholland Drive;Universal;Thriller-or-Suspense
96;Pandora's Box;Kino International;Thriller-or-Suspense
97;Heaven;Miramax;Thriller-or-Suspense
98;The Salton Sea;Warner Bros.;Thriller-or-Suspense
99;Domestic Disturbance;Paramount Pictures;Thriller-or-Suspense
100;Narc;Paramount Pictures;Thriller-or-Suspense
101;Road;;Thriller-or-Suspense
102;From Hell;20th Century Fox;Thriller-or-Suspense
103;The Bank;Cinema Guild;Thriller-or-Suspense
104;Interview with the Assassin;;Thriller-or-Suspense
105;Donât Say a Word;20th Century Fox;Thriller-or-Suspense
106;Gangster No. 1;IFC Films;Thriller-or-Suspense
107;Revolution#9;;Thriller-or-Suspense
108;Blackwoods;ThinkFilm;Thriller-or-Suspense
110;The Recruit;Walt Disney;Thriller-or-Suspense
111;Identity;Sony Pictures;Thriller-or-Suspense
112;Runaway Jury;20th Century Fox;Thriller-or-Suspense
113;Phone Booth;20th Century Fox;Thriller-or-Suspense
114;Out of Time;MGM;Thriller-or-Suspense
115;Paycheck;Paramount Pictures;Thriller-or-Suspense
116;Basic;Sony Pictures;Thriller-or-Suspense
117;Cold Creek Manor;Walt Disney;Thriller-or-Suspense
118;The Life of David Gale;Universal;Thriller-or-Suspense
119;Narc;Paramount Pictures;Thriller-or-Suspense
120;Swimming Pool;Focus Features;Thriller-or-Suspense
121;The Order;20th Century Fox;Thriller-or-Suspense
122;In the Cut;Sony Pictures;Thriller-or-Suspense
123;Ã  la folie... pas du tout;Samuel Goldwyn Films;Thriller-or-Suspense
124;Le cercle rouge;;Thriller-or-Suspense
125;The Statement;Sony Pictures;Thriller-or-Suspense
126;The Hero: Love Story of a Spy;;Thriller-or-Suspense
127;Demonlover;Palm Pictures;Thriller-or-Suspense
128;Signs;Walt Disney;Thriller-or-Suspense
129;No Good Deed;Mac Releasing;Thriller-or-Suspense
130;The Bank;Cinema Guild;Thriller-or-Suspense
131;Night of Destiny;ArtMattan Films;Thriller-or-Suspense
133;The Bourne Supremacy;Universal;Thriller-or-Suspense
134;The Village;Walt Disney;Thriller-or-Suspense
135;Man on Fire;20th Century Fox;Thriller-or-Suspense
136;Ladder 49;Walt Disney;Thriller-or-Suspense
137;The Forgotten;Sony Pictures;Thriller-or-Suspense
138;The Manchurian Candidate;Paramount Pictures;Thriller-or-Suspense
139;The Butterfly Effect;New Line;Thriller-or-Suspense
140;Secret Window;Sony Pictures;Thriller-or-Suspense
141;Taking Lives;Warner Bros.;Thriller-or-Suspense
142;Cellular;New Line;Thriller-or-Suspense
143;Open Water;Lionsgate;Thriller-or-Suspense
144;Twisted;Paramount Pictures;Thriller-or-Suspense
145;Paparazzi;20th Century Fox;Thriller-or-Suspense
146;Paycheck;Paramount Pictures;Thriller-or-Suspense
147;Godsend;Lionsgate;Thriller-or-Suspense
148;Wicker Park;MGM;Thriller-or-Suspense
149;Spartan;Warner Bros.;Thriller-or-Suspense
150;The Machinist;Paramount Vantage;Thriller-or-Suspense
151;The Final Cut;Lionsgate;Thriller-or-Suspense
152;The Statement;Sony Pictures;Thriller-or-Suspense
153;Runaway Jury;20th Century Fox;Thriller-or-Suspense
154;I'll Sleep When I'm Dead;Paramount Vantage;Thriller-or-Suspense
155;Enduring Love;Paramount Vantage;Thriller-or-Suspense
156;Cavale;Magnolia Pictures;Thriller-or-Suspense
157;Close Your Eyes;;Thriller-or-Suspense
158;Shade;;Thriller-or-Suspense
159;The Burial Society;Regent Releasing;Thriller-or-Suspense
160;Out of Time;MGM;Thriller-or-Suspense
161;Reeseville;Innovation Film G…;Thriller-or-Suspense
162;La mentale;;Thriller-or-Suspense
163;Who Killed Bambi?;Strand;Thriller-or-Suspense
164;Demonlover;Palm Pictures;Thriller-or-Suspense
166;Flightplan;Walt Disney;Thriller-or-Suspense
167;Four Brothers;Paramount Pictures;Thriller-or-Suspense
168;Sin City;Miramax/Dimension;Thriller-or-Suspense
169;The Interpreter;Universal;Thriller-or-Suspense
170;Red Eye;Dreamworks SKG;Thriller-or-Suspense
171;Syriana;Warner Bros.;Thriller-or-Suspense
172;Derailed;Weinstein Co.;Thriller-or-Suspense
173;The Constant Gardener;Focus Features;Thriller-or-Suspense
174;A History of Violence;New Line;Thriller-or-Suspense
175;Munich;Universal;Thriller-or-Suspense
176;Cry Wolf;Focus/Rogue Pictures;Thriller-or-Suspense
177;The Jacket;Warner Independent;Thriller-or-Suspense
178;Underclassman;Miramax;Thriller-or-Suspense
179;Mindhunters;Miramax/Dimension;Thriller-or-Suspense
180;Stay;20th Century Fox;Thriller-or-Suspense
181;Layer Cake;Sony Pictures Cla…;Thriller-or-Suspense
182;Oldboy;Tartan Films;Thriller-or-Suspense
183;Ladder 49;Walt Disney;Thriller-or-Suspense
184;Match Point;Dreamworks SKG;Thriller-or-Suspense
185;Asylum;Paramount Vantage;Thriller-or-Suspense
186;Dot the I;Freestyle Releasing;Thriller-or-Suspense
187;Kontroll;ThinkFilm;Thriller-or-Suspense
188;The Machinist;Paramount Vantage;Thriller-or-Suspense
189;The Matador;Weinstein Co.;Thriller-or-Suspense
190;The Other Side of the Street;Strand;Thriller-or-Suspense
191;Chocolate: Deep Dark Secrets;Eros Entertainment;Thriller-or-Suspense
192;Boksuneun naui geot;Tartan Films;Thriller-or-Suspense
193;Classe Tous Risques;Rialto Pictures;Thriller-or-Suspense
194;Fascination;MGM;Thriller-or-Suspense
195;Salinsui Chooeok;Palm Pictures;Thriller-or-Suspense
196;Enduring Love;Paramount Vantage;Thriller-or-Suspense
197;Who Killed Bambi?;Strand;Thriller-or-Suspense
198;Kalyug;Kria;Thriller-or-Suspense
200;The Da Vinci Code;Sony Pictures;Thriller-or-Suspense
201;Inside Man;Universal;Thriller-or-Suspense
202;DÃ©jÃ  Vu;Walt Disney;Thriller-or-Suspense
203;The Prestige;Walt Disney;Thriller-or-Suspense
204;Firewall;Warner Bros.;Thriller-or-Suspense
205;Lady in the Water;Warner Bros.;Thriller-or-Suspense
206;The Sentinel;20th Century Fox;Thriller-or-Suspense
207;Snakes on a Plane;New Line;Thriller-or-Suspense
208;Munich;Universal;Thriller-or-Suspense
209;The Descent;Lionsgate;Thriller-or-Suspense
210;The Black Dahlia;Universal;Thriller-or-Suspense
211;Lucky Number Slevin;MGM;Thriller-or-Suspense
212;Match Point;Dreamworks SKG;Thriller-or-Suspense
213;Syriana;Warner Bros.;Thriller-or-Suspense
214;The Matador;Weinstein Co.;Thriller-or-Suspense
215;The Return;Focus Features;Thriller-or-Suspense
216;Turistas;20th Century Fox;Thriller-or-Suspense
217;Basic Instinct 2;Sony Pictures;Thriller-or-Suspense
218;A Scanner Darkly;Warner Bros.;Thriller-or-Suspense
219;Catch a Fire;Focus Features;Thriller-or-Suspense
220;Children of Men;Universal;Thriller-or-Suspense
221;Flightplan;Walt Disney;Thriller-or-Suspense
222;Derailed;Weinstein Co.;Thriller-or-Suspense
223;A History of Violence;New Line;Thriller-or-Suspense
224;Chinjeolhan geumjassi;Tartan Films;Thriller-or-Suspense
225;The Fallen Idol;Rialto Pictures;Thriller-or-Suspense
226;13 Tzameti;Palm Pictures;Thriller-or-Suspense
227;La Demoiselle d'honneur;First Run Features;Thriller-or-Suspense
228;Cavite;Truly Indie;Thriller-or-Suspense
229;Classe Tous Risques;Rialto Pictures;Thriller-or-Suspense
230;Moonlight;Indican Pictures;Thriller-or-Suspense
231;The Zodiac;ThinkFilm;Thriller-or-Suspense
232;El Aura;IFC Films;Thriller-or-Suspense
233;Hate Crime;Pasidg Productions;Thriller-or-Suspense
234;Unknown;IFC Films;Thriller-or-Suspense
235;The Dead Girl;First Look;Thriller-or-Suspense
236;Boksuneun naui geot;Tartan Films;Thriller-or-Suspense
237;Zyzzyx Rd.;Regent Releasing;Thriller-or-Suspense
239;The Bourne Ultimatum;Universal;Thriller-or-Suspense
240;Disturbia;Paramount Pictures;Thriller-or-Suspense
241;Premonition;Sony Pictures;Thriller-or-Suspense
242;Shooter;Paramount Pictures;Thriller-or-Suspense
243;Fracture;New Line;Thriller-or-Suspense
244;The Brave One;Warner Bros.;Thriller-or-Suspense
245;The Number 23;New Line;Thriller-or-Suspense
246;Children of Men;Universal;Thriller-or-Suspense
247;Breach;Universal;Thriller-or-Suspense
248;Mr. Brooks;MGM;Thriller-or-Suspense
249;Hannibal Rising;Weinstein Co.;Thriller-or-Suspense
250;Nancy Drew;Warner Bros.;Thriller-or-Suspense
251;Perfect Stranger;Sony Pictures;Thriller-or-Suspense
252;The Invisible;Walt Disney;Thriller-or-Suspense
253;Vacancy;Sony Pictures;Thriller-or-Suspense
254;Eastern Promises;Focus Features;Thriller-or-Suspense
255;The Hitcher;Focus Features;Thriller-or-Suspense
256;The Invasion;Warner Bros.;Thriller-or-Suspense
257;Awake;Weinstein Co.;Thriller-or-Suspense
258;Rendition;New Line;Thriller-or-Suspense
259;I Know Who Killed Me;Sony Pictures;Thriller-or-Suspense
260;Zwartboek;Sony Pictures Cla…;Thriller-or-Suspense
261;Sunshine;Fox Searchlight;Thriller-or-Suspense
262;Illegal Tender;Universal;Thriller-or-Suspense
263;Ma Fille, Mon Ange;Alliance Atlantis;Thriller-or-Suspense
264;DÃ©jÃ  Vu;Walt Disney;Thriller-or-Suspense
265;Slow Burn;Lionsgate;Thriller-or-Suspense
266;Blade Runner;Warner Bros.;Thriller-or-Suspense
267;Thr3e;The Bigger Picture;Thriller-or-Suspense
268;Paprika;Sony Pictures Cla…;Thriller-or-Suspense
269;Sarah Landon and the Parano…;Freestyle Releasing;Thriller-or-Suspense
270;The Prestige;Walt Disney;Thriller-or-Suspense
271;Joshua;Fox Searchlight;Thriller-or-Suspense
272;Sleuth;Sony Pictures Cla…;Thriller-or-Suspense
273;Youth Without Youth;Sony Pictures Cla…;Thriller-or-Suspense
274;Fay Grim;Magnolia Pictures;Thriller-or-Suspense
275;Civic Duty;Freestyle Releasing;Thriller-or-Suspense
276;Revolver;Samuel Goldwyn Films;Thriller-or-Suspense
277;Le Doulos;Rialto Pictures;Thriller-or-Suspense
278;Turistas;20th Century Fox;Thriller-or-Suspense
279;Right at Your Door;Lionsgate;Thriller-or-Suspense
280;Hak se wui yi wo wai kwai;Tartan Films;Thriller-or-Suspense
281;The Situation;Shadow;Thriller-or-Suspense
282;Ils;Slowhand Cinema;Thriller-or-Suspense
283;Arnolds Park;The Movie Partners;Thriller-or-Suspense
284;Chacun sa nuit;Strand;Thriller-or-Suspense
285;The Dead Girl;First Look;Thriller-or-Suspense
286;El Aura;IFC Films;Thriller-or-Suspense
287;Descent;City Lights Pictures;Thriller-or-Suspense
288;Alone with Her;IFC Films;Thriller-or-Suspense
289;Splinter;Magic Lamp;Thriller-or-Suspense
290;If I Didn't Care;Artistic License;Thriller-or-Suspense
291;Ten 'Til Noon;Radio London Films;Thriller-or-Suspense
292;Imprint;Linn Productions;Thriller-or-Suspense
293;La Demoiselle d'honneur;First Run Features;Thriller-or-Suspense
294;CrÃ³nica de una fuga;IFC Films;Thriller-or-Suspense
295;Mem-o-re;Aloha Releasing;Thriller-or-Suspense
296;Moonlight;Indican Pictures;Thriller-or-Suspense
298;Eagle Eye;Paramount Pictures;Thriller-or-Suspense
299;21;Sony Pictures;Thriller-or-Suspense
300;Vantage Point;Sony Pictures;Thriller-or-Suspense
301;The Happening;20th Century Fox;Thriller-or-Suspense
302;Valkyrie;United Artists;Thriller-or-Suspense
303;The Strangers;Focus Features;Thriller-or-Suspense
304;Righteous Kill;Overture Films;Thriller-or-Suspense
305;Body of Lies;Warner Bros.;Thriller-or-Suspense
306;Lakeview Terrace;Sony Pictures;Thriller-or-Suspense
307;Changeling;Universal;Thriller-or-Suspense
308;The Bank Job;Lionsgate;Thriller-or-Suspense
309;Untraceable;Sony Pictures;Thriller-or-Suspense
310;Street Kings;Fox Searchlight;Thriller-or-Suspense
311;Traitor;Overture Films;Thriller-or-Suspense
312;88 Minutes;Sony Pictures;Thriller-or-Suspense
313;Ne le dis Ã  personne;Music Box Films;Thriller-or-Suspense
314;Deception;20th Century Fox;Thriller-or-Suspense
315;Blindness;Miramax;Thriller-or-Suspense
316;Transsiberian;First Look;Thriller-or-Suspense
317;Ghajini;AdLab Films;Thriller-or-Suspense
318;Funny Games;Warner Independent;Thriller-or-Suspense
319;Nobel Son;Freestyle Releasing;Thriller-or-Suspense
320;La fille coupÃ©e en deux;IFC Films;Thriller-or-Suspense
321;Le piÃ¨ge amÃ©ricain;;Thriller-or-Suspense
322;Blade Runner;Warner Bros.;Thriller-or-Suspense
323;Kidnap;Studio 18;Thriller-or-Suspense
324;Passengers;Sony Pictures;Thriller-or-Suspense
325;Awake;Weinstein Co.;Thriller-or-Suspense
326;Pathology;MGM;Thriller-or-Suspense
327;Cover;Reel Diva Consult…;Thriller-or-Suspense
328;Midnight Meat Train;Lionsgate;Thriller-or-Suspense
329;Youth Without Youth;Sony Pictures Cla…;Thriller-or-Suspense
330;Stuck;ThinkFilm;Thriller-or-Suspense
331;Boarding Gate;Magnet Pictures;Thriller-or-Suspense
332;Du rififi chez les hommes;;Thriller-or-Suspense
333;The Alphabet Killer;Anchor Bay Entert…;Thriller-or-Suspense
334;While She Was Out;Anchor Bay Entert…;Thriller-or-Suspense
335;Los CronocrÃ­menes;Magnolia Pictures;Thriller-or-Suspense
336;The Cry;Monterey Media;Thriller-or-Suspense
337;Anamorph;IFC Films;Thriller-or-Suspense
338;Insidious;Romantic Troubado…;Thriller-or-Suspense
339;La Question Humaine;New Yorker;Thriller-or-Suspense
340;Red;Magnolia Pictures;Thriller-or-Suspense
341;Sleuth;Sony Pictures Cla…;Thriller-or-Suspense
342;San taam;IFC Films;Thriller-or-Suspense
343;On the Other Hand, Death: A…;Regent Releasing;Thriller-or-Suspense
344;Murder.com;Regent Releasing;Thriller-or-Suspense
345;Ice Blues: A Donald Strache…;Regent Releasing;Thriller-or-Suspense
346;Fall of Hyperion;Regent Releasing;Thriller-or-Suspense
348;Taken;20th Century Fox;Thriller-or-Suspense
349;Angels & Demons;Sony Pictures;Thriller-or-Suspense
350;District 9;Sony Pictures;Thriller-or-Suspense
351;Knowing;Summit Entertainment;Thriller-or-Suspense
352;Law Abiding Citizen;Overture Films;Thriller-or-Suspense
353;Obsessed;Sony Pictures;Thriller-or-Suspense
354;State of Play;Universal;Thriller-or-Suspense
355;Push;Summit Entertainment;Thriller-or-Suspense
356;The Stepfather;Sony Pictures;Thriller-or-Suspense
357;The Fourth Kind;Universal;Thriller-or-Suspense
358;The International;Sony Pictures;Thriller-or-Suspense
359;Valkyrie;United Artists;Thriller-or-Suspense
360;Armored;Sony Pictures;Thriller-or-Suspense
361;A Perfect Getaway;Universal;Thriller-or-Suspense
362;The Box;Warner Bros.;Thriller-or-Suspense
363;Crank 2: High Voltage;Lionsgate;Thriller-or-Suspense
364;Whiteout;Warner Bros.;Thriller-or-Suspense
365;Moon;Sony Pictures Cla…;Thriller-or-Suspense
366;Sin Nombre;Focus Features;Thriller-or-Suspense
367;MÃ¤n som hatar kvinnor;Alliance Atlantis;Thriller-or-Suspense
368;Los abrazos rotos;Sony Pictures Cla…;Thriller-or-Suspense
369;Kaminey;UTV Communications;Thriller-or-Suspense
370;5150, Rue des Ormes;;Thriller-or-Suspense
371;Echelon Conspiracy;After Dark;Thriller-or-Suspense
372;Flickan som lekte med elden;;Thriller-or-Suspense
373;The Limits of Control;Focus Features;Thriller-or-Suspense
374;Wanted;Eros Entertainment;Thriller-or-Suspense
375;The Informers;Senator Entertain…;Thriller-or-Suspense
376;Revanche;Janus Films;Thriller-or-Suspense
377;Ghajini;AdLab Films;Thriller-or-Suspense
378;Flammen og Citronen;IFC Films;Thriller-or-Suspense
379;12;Sony Pictures Cla…;Thriller-or-Suspense
380;Carriers;Paramount Vantage;Thriller-or-Suspense
381;Z;Rialto Pictures;Thriller-or-Suspense
382;Sleep Dealer;Maya Releasing;Thriller-or-Suspense
383;Body of Lies;Warner Bros.;Thriller-or-Suspense
384;Julia;Magnolia Pictures;Thriller-or-Suspense
385;Ne le dis Ã  personne;Music Box Films;Thriller-or-Suspense
386;Not Forgotten;Anchor Bay Entert…;Thriller-or-Suspense
387;Eagle Eye;Paramount Pictures;Thriller-or-Suspense
388;Le combat dans l'Ã®le;The Film Desk;Thriller-or-Suspense
389;Beyond a Reasonable Doubt;Anchor Bay Entert…;Thriller-or-Suspense
390;Changeling;Universal;Thriller-or-Suspense
391;Surveillance;Magnolia Pictures;Thriller-or-Suspense
392;Death in Love;Screen Media Films;Thriller-or-Suspense
393;Donkey Punch;Magnolia Pictures;Thriller-or-Suspense
394;Killshot;Weinstein Co.;Thriller-or-Suspense
395;Los CronocrÃ­menes;Magnolia Pictures;Thriller-or-Suspense
396;The Escapist;ThinkFilm;Thriller-or-Suspense
397;The Skeptic;IFC Films;Thriller-or-Suspense
398;The Perfect Sleep;Cinema Epoch;Thriller-or-Suspense
399;Pontypool;IFC Films;Thriller-or-Suspense
400;The Canyon;Truly Indie;Thriller-or-Suspense
